Time,Altitude,Pressure,Velocity,Temperature,Events,Voltages
0.00,8.458531E-07,1014.90,0,69.8, -,8.518086
0.05,10.90771,1014.50,10.38095,69.8, -,8.518086
0.10,16.36287,1014.30,15.57143,69.8, -,8.518086
0.15,24.54641,1014.00,23.38095,69.8, -,8.518086
0.20,32.73191,1013.70,31.19048,69.8, -,8.518086
0.25,46.37933,1013.20,44.19048,69.8, -,8.518086
0.30,54.57006,1012.90,52,69.8, -,8.518086
0.35,57.30185,1012.80,54.61905,69.8, -,8.518086
0.40,62.76443,1012.60,59.80952,69.8, -,8.518086
0.45,79.15572,1012.00,75.42857,69.8, -,8.518086
0.50,92.8217,1011.50,88.42857,69.8, -,8.518086
0.55,95.55489,1011.40,91.04762,69.98, -,8.498639
0.60,109.2274,1010.90,104.0476,69.98, -,8.498639
0.65,125.6427,1010.30,119.6667,69.98, -,8.498639
0.70,131.1162,1010.10,124.8571,69.98, -,8.498639
0.75,147.5404,1009.50,140.4762,69.98, -,8.498639
0.80,158.4953,1009.10,150.9048,69.98, -,8.498639
0.85,169.4521,1008.70,161.3333,69.98, -,8.498639
0.90,185.8964,1008.10,177,69.98, -,8.498639
0.95,213.3195,1007.10,203.0952,69.98, -,8.498639
1.00,221.5504,1006.80,210.9524,69.98, -,8.498639
1.05,232.5274,1006.40,221.4286,69.98, -,8.498639
1.10,240.7646,1006.10,218.9048,69.98, -,8.498639
1.15,249.0021,1005.80,221.5714,69.98, -,8.498639
1.20,265.4831,1005.20,229.4762,69.98, -,8.498639
1.25,284.7221,1004.50,240,69.98, -,8.498639
1.30,309.4742,1003.60,250.5714,69.98, -,8.498639
1.35,328.7364,1002.90,261.0952,69.98, -,8.498639
1.40,345.2577,1002.30,274.1905,69.98, -,8.498639
1.45,364.5417,1001.60,287.381,69.98, -,8.498639
1.50,383.8351,1000.90,290.1429,70.16, -,8.498639
1.55,403.141,1000.20,295.5238,70.16, -,8.498639
1.60,416.9374,999.70,306.0476,70.16, -,8.498639
1.65,430.7394,999.20,306.1905,70.16, -,8.498639
1.70,450.072,998.50,309,70.16, -,8.498639
1.75,472.179,997.70,324.8571,70.16, -,8.498639
1.80,486.0034,997.20,322.381,70.16, -,8.498639
1.85,508.1338,996.40,333.0476,70.16, -,8.498639
1.90,527.5104,995.70,341.0952,70.16, -,8.498639
1.95,541.3572,995.20,338.619,70.16, -,8.498639
2.00,557.982,994.60,328.3333,70.16, -,8.498639
2.05,574.6132,994.00,336.3333,70.16, -,8.498639
2.10,594.0276,993.30,344.3333,70.16, -,8.498639
2.15,613.4531,992.60,355,70.16, -,8.498639
2.20,630.1113,992.00,363,70.16, -,8.498639
2.25,646.7778,991.40,363.1429,70.16, -,8.498639
2.30,660.6733,990.90,358.0476,70.16, -,8.498639
2.35,680.1369,990.20,353,70.16, -,8.498639
2.40,696.8296,989.60,350.5714,70.16, -,8.498639
2.45,716.3123,988.90,353.4286,70.16, -,8.498639
2.50,727.4516,988.50,345.6667,70.16, -,8.498639
2.55,744.1658,987.90,343.1905,70.16, -,8.518086
2.60,760.89,987.30,340.7143,70.16, -,8.518086
2.65,777.6207,986.70,343.5238,70.16, -,8.518086
2.70,794.3613,986.10,346.3333,70.16, -,8.518086
2.75,811.1085,985.50,343.8571,70.16, -,8.518086
2.80,825.0714,985.00,336.0952,70.16, -,8.518086
2.85,841.8337,984.40,338.9048,70.16, -,8.518086
2.90,858.606,983.80,333.7619,70.16, -,8.518086
2.95,872.5884,983.30,328.619,70.16, -,8.518086
3.00,883.7774,982.90,326.0952,70.16, -,8.518086
3.05,900.5704,982.30,326.2857,70.16, -,8.518086
3.10,917.3701,981.70,326.4286,70.16, -,8.518086
3.15,934.1797,981.10,323.9524,70.16, -,8.518086
3.20,948.1933,980.60,318.7619,70.16, -,8.518086
3.25,965.0165,980.00,318.9048,70.16, -,8.518086
3.30,976.2377,979.60,313.7143,70.16, -,8.518086
3.35,990.2687,979.10,313.8571,70.16, -,8.518086
3.40,1009.92,978.40,314.0476,70.16, -,8.518086
3.45,1021.156,978.00,308.8571,70.16, -,8.518086
3.50,1032.396,977.60,301,70.16, -,8.498639
3.55,1046.45,977.10,303.7619,70.16, -,8.498639
3.60,1066.135,976.40,306.619,70.16, -,8.498639
3.65,1080.203,975.90,304.0952,70.16, -,8.498639
3.70,1091.462,975.50,298.8571,70.16, -,8.498639
3.75,1105.541,975.00,296.3333,70.16, -,8.498639
3.80,1119.625,974.50,293.8095,70.16, -,8.498639
3.85,1133.716,974.00,293.9524,70.16, -,8.498639
