hours, minutes, seconds, microseconds, altitude, temperature, pressure
Intializing Altimeter
18,41,0,310039,1308.06,19.02,98392.98
18,41,0,887087,215.89,19.03,98393.49
18,41,1,435086,215.91,19.03,98393.16
18,41,1,982094,215.86,19.04,98394.48
18,41,2,530091,215.82,19.04,98394.14
18,41,3,80095,215.79,19.04,98394.28
18,41,3,627091,215.84,19.04,98394.16
18,41,4,169092,215.82,19.04,98394.58
18,41,4,716093,215.79,19.04,98393.41
18,41,5,263093,215.86,19.05,98393.76
18,41,5,810092,215.84,19.05,98393.68
18,41,6,357093,215.90,19.05,98393.51
18,41,6,906093,215.94,19.05,98393.57
18,41,7,453093,215.82,19.06,98393.49
18,41,8,94,215.88,19.07,98393.05
18,41,8,547094,215.97,19.07,98392.19
18,41,9,103061,215.96,19.08,98392.68
18,41,9,651058,215.89,19.08,98392.59
18,41,10,199089,215.97,19.08,98392.71
18,41,10,765951,215.92,19.08,98392.79
18,41,11,315140,215.90,19.08,98393.89
18,41,11,862096,215.79,19.08,98394.01
Intializing Altimeter
18,41,0,261811,1308.06,19.20,98391.00
18,41,0,835061,216.10,19.21,98390.34
18,41,1,383075,216.09,19.22,98391.87
18,41,1,934072,215.95,19.23,98393.09
18,41,2,484078,215.95,19.24,98392.42
18,41,3,29084,216.00,19.24,98391.32
18,41,3,578091,216.09,19.23,98390.98
18,41,4,127089,216.06,19.23,98391.34
18,41,4,678099,215.98,19.21,98391.77
18,41,5,228094,216.04,19.20,98390.67
18,41,5,776091,216.11,19.20,98391.71
18,41,6,324093,216.06,19.21,98391.12
18,41,6,871094,216.08,19.21,98391.09
18,41,7,418093,215.97,19.21,98391.68
18,41,7,965093,216.04,19.21,98391.13
18,41,8,512095,216.06,19.22,98391.21
18,41,9,74093,216.03,19.22,98391.49
18,41,9,639062,216.03,19.22,98391.69
18,41,10,209092,215.99,19.22,98391.75
18,41,10,754091,216.02,19.22,98391.76
18,41,11,297091,216.06,19.21,98391.24
18,41,11,844093,216.08,19.21,98390.91
18,41,12,391093,216.04,19.22,98391.41
18,41,12,938094,216.05,19.22,98391.09
18,41,13,485094,216.10,19.22,98390.75
18,41,14,32095,216.07,19.23,98391.99
18,41,14,579095,216.00,19.24,98392.20
18,41,15,126093,215.90,19.24,98392.38
18,41,15,673094,216.05,19.25,98391.89
18,41,16,220093,215.99,19.25,98391.77
18,41,16,782061,215.95,19.26,98391.66
18,41,17,331063,216.03,19.26,98392.91
18,41,17,880091,215.96,19.28,98392.50
18,41,18,434090,215.95,19.29,98392.33
18,41,18,983091,215.98,19.28,98393.23
18,41,19,532093,215.83,19.29,98394.22
18,41,20,101807,215.86,19.30,98393.35
18,41,20,650093,215.85,19.30,98393.85
18,41,21,197091,215.80,19.29,98393.87
18,41,21,745091,215.79,19.29,98393.77
18,41,22,293091,215.83,19.29,98394.00
18,41,22,841091,215.86,19.29,98393.18
18,41,23,389091,215.93,19.30,98391.43
18,41,23,944093,215.98,19.30,98391.96
18,41,24,507091,216.01,19.31,98391.98
18,41,25,56096,215.97,19.31,98392.09
18,41,25,605091,215.97,19.32,98392.45
18,41,26,154093,215.93,19.32,98392.68
18,41,26,703090,215.97,19.32,98391.50
18,41,27,252091,216.02,19.32,98391.98
18,41,27,805094,215.93,19.32,98393.31
18,41,28,354094,215.89,19.32,98392.80
18,41,28,903091,215.92,19.33,98393.27
18,41,29,474080,215.96,19.33,98392.13
18,41,30,19093,215.96,19.33,98392.65
18,41,30,567093,215.91,19.34,98392.66
18,41,31,121093,215.95,19.34,98392.13
18,41,31,679061,215.99,19.34,98391.70
18,41,32,232091,216.09,19.35,98391.41
18,41,32,781090,216.07,19.35,98390.81
18,41,33,330093,216.08,19.35,98390.66
18,41,33,879091,216.07,19.35,98391.78
18,41,34,428090,216.02,19.36,98391.66
18,41,34,977093,216.03,19.36,98391.80
18,41,35,526096,215.99,19.36,98391.45
18,41,36,75091,216.04,19.36,98391.43
18,41,36,624094,215.97,19.36,98392.70
18,41,37,173089,215.92,19.36,98392.56
18,41,37,722096,216.03,19.36,98391.25
18,41,38,271094,216.10,19.35,98391.02
18,41,38,844123,216.09,19.35,98390.86
18,41,39,401091,216.07,19.36,98391.16
18,41,39,949092,216.03,19.36,98391.23
18,41,40,497091,216.07,19.36,98391.08
18,41,41,45094,216.05,19.36,98391.16
18,41,41,594092,216.08,19.36,98390.55
18,41,42,143093,216.12,19.36,98390.93
18,41,42,691093,216.13,19.36,98389.97
18,41,43,239094,216.15,19.36,98390.63
18,41,43,787093,216.09,19.37,98390.45
18,41,44,335093,216.09,19.37,98390.38
18,41,44,883093,216.11,19.37,98390.22
18,41,45,431094,216.15,19.37,98389.32
18,41,45,979094,216.26,19.37,98389.90
18,41,46,537096,216.17,19.37,98390.14
18,41,47,101062,216.29,19.37,98388.88
18,41,47,649061,216.21,19.37,98389.66
18,41,48,198091,216.15,19.37,98390.48
18,41,48,768095,216.15,19.38,98390.49
18,41,49,314093,216.13,19.38,98390.82
18,41,49,861091,216.11,19.38,98390.16
18,41,50,409091,216.13,19.38,98390.70
