hours, minutes, seconds, microseconds, accel_x, accel_y, accel_z, linear_x, linear_y, linear_z, gravity_x, gravity_y, gravity_z, quat_w, quat_x, quat_y, quat_z, gyro_x, gyro_y, gyro_z
Initializing IMU
18,41,0,309619,1.76,-8.84,-1.33,-0.25,0.60,0.32,2.03,-9.44,-1.66,-0.76,-0.03,-0.11,0.63,-4.06,5.69,-12.31
18,41,0,832093,3.51,-8.62,-2.16,0.44,0.44,-0.06,3.07,-9.07,-2.10,-0.78,-0.06,-0.15,0.61,-1.94,-4.62,-9.13
18,41,1,349092,3.85,-8.33,-1.75,0.31,0.55,0.39,3.54,-8.88,-2.14,-0.78,-0.09,-0.16,0.60,-4.44,2.81,-1.50
18,41,1,870092,4.01,-8.11,-2.60,0.28,0.66,-0.34,3.77,-8.76,-2.25,-0.78,-0.10,-0.17,0.60,4.69,-5.56,2.37
18,41,2,387091,2.98,-8.44,-2.09,-0.47,0.51,-0.09,3.45,-8.95,-1.99,-0.77,-0.09,-0.16,0.61,-3.81,3.69,0.62
18,41,2,921091,3.30,-8.38,-2.28,-0.08,0.62,-0.15,3.31,-8.98,-2.10,-0.77,-0.08,-0.15,0.61,6.69,-5.69,5.62
18,41,3,451079,2.78,-8.68,-1.06,-0.15,0.54,0.49,2.93,-9.22,-1.56,-0.75,-0.10,-0.11,0.64,0.94,-8.31,4.12
18,41,3,966080,3.19,-8.52,-1.33,0.20,0.65,0.40,2.98,-9.17,-1.73,-0.76,-0.13,-0.09,0.63,0.06,-6.31,-8.94
18,41,4,489061,3.02,-8.49,-1.77,-0.13,0.61,-0.01,3.15,-9.11,-1.75,-0.76,-0.13,-0.11,0.63,2.44,1.87,2.62
18,41,5,9086,3.11,-8.50,-1.56,0.03,0.64,0.16,3.07,-9.15,-1.72,-0.76,-0.12,-0.10,0.63,0.69,-2.19,0.37
18,41,5,527079,3.49,-8.98,-1.59,-0.02,0.07,-0.17,3.49,-9.05,-1.40,-0.75,-0.10,-0.15,0.64,1.12,16.87,-5.44
