# mach vs cd (Up to date)
# 960 data points written for 2 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (27 m/s):  "Drogue Parachute"
#   Recovery device deployment at high speed (30.4 m/s):  "Main Parachute"
#
# Drag coefficient (​),Mach number (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
1.334,0
1.334,0
1.334,1.312e-5
1.285,1.761e-4
0.961,5.146e-4
0.822,0.001
0.742,0.002
0.688,0.003
# Event LIFTOFF occurred at t=0.08 seconds
0.649,0.004
0.62,0.005
0.596,0.006
0.577,0.008
0.561,0.01
0.547,0.012
0.542,0.012
0.535,0.014
0.526,0.016
0.518,0.018
0.51,0.02
0.504,0.022
0.499,0.024
0.494,0.026
0.489,0.028
0.485,0.031
0.481,0.033
0.478,0.035
0.476,0.037
0.476,0.039
0.476,0.041
0.476,0.044
0.476,0.046
0.476,0.048
0.476,0.05
0.477,0.052
0.477,0.055
0.477,0.057
0.477,0.059
0.477,0.061
0.477,0.064
0.477,0.066
0.477,0.068
0.477,0.07
0.477,0.072
0.477,0.074
0.477,0.077
0.477,0.079
0.477,0.081
# Event LAUNCHROD occurred at t=0.456 seconds
0.477,0.083
0.477,0.087
0.477,0.092
0.477,0.1
0.478,0.112
0.478,0.124
0.479,0.136
0.479,0.148
0.48,0.16
0.48,0.172
0.481,0.185
0.481,0.197
0.482,0.203
0.482,0.211
0.483,0.224
0.484,0.237
0.484,0.249
0.485,0.262
0.486,0.272
0.487,0.285
0.488,0.298
0.489,0.311
0.49,0.324
0.491,0.337
0.492,0.343
0.493,0.352
0.494,0.365
0.495,0.378
0.497,0.391
0.498,0.404
0.499,0.414
0.5,0.427
0.502,0.44
0.503,0.453
0.505,0.466
0.507,0.479
0.507,0.484
0.509,0.493
0.51,0.506
0.512,0.519
0.514,0.532
0.516,0.545
0.517,0.555
0.519,0.568
0.521,0.581
0.523,0.593
0.525,0.606
0.527,0.619
0.528,0.624
0.53,0.632
0.532,0.645
0.534,0.657
0.536,0.669
0.538,0.682
0.54,0.691
0.542,0.703
0.545,0.715
0.547,0.726
0.549,0.738
0.551,0.749
0.552,0.754
0.554,0.761
0.556,0.772
0.558,0.782
0.56,0.792
0.562,0.802
0.564,0.809
0.566,0.818
0.568,0.828
0.57,0.837
0.572,0.845
0.574,0.854
0.575,0.858
0.576,0.863
0.578,0.871
0.58,0.879
0.582,0.887
0.583,0.894
0.585,0.9
0.586,0.906
0.588,0.913
0.589,0.919
0.59,0.925
0.591,0.931
0.592,0.933
0.593,0.937
0.594,0.942
0.595,0.947
0.596,0.951
0.597,0.956
0.598,0.959
0.6,0.963
0.601,0.966
0.602,0.97
0.603,0.973
0.604,0.976
0.604,0.977
0.605,0.979
0.606,0.982
0.606,0.984
0.607,0.986
0.608,0.988
0.608,0.99
0.609,0.991
0.609,0.993
0.61,0.994
0.61,0.995
0.61,0.996
0.61,0.996
0.611,0.997
0.611,0.997
0.611,0.997
0.61,0.996
0.61,0.995
0.61,0.994
0.609,0.992
0.608,0.99
0.608,0.987
0.607,0.985
0.606,0.982
0.605,0.98
0.604,0.978
0.603,0.974
0.602,0.97
0.601,0.966
0.599,0.961
0.598,0.957
0.596,0.951
0.595,0.946
0.594,0.94
0.592,0.935
0.591,0.929
0.59,0.926
0.59,0.922
0.588,0.916
0.587,0.911
0.586,0.905
0.585,0.899
0.584,0.895
0.582,0.889
0.581,0.883
0.579,0.878
0.578,0.872
0.577,0.867
# Event BURNOUT occurred at t=6.95 seconds
# Event EJECTION_CHARGE occurred at t=6.95 seconds
0.576,0.864
0.575,0.861
0.574,0.855
0.573,0.85
0.572,0.845
0.571,0.84
0.57,0.835
0.568,0.83
0.567,0.825
0.566,0.82
0.565,0.815
0.564,0.81
0.563,0.805
0.562,0.801
0.561,0.796
0.56,0.791
0.559,0.787
0.558,0.782
0.557,0.778
0.556,0.773
0.555,0.769
0.554,0.765
0.554,0.76
0.553,0.756
0.552,0.752
0.551,0.748
0.55,0.743
0.549,0.739
0.549,0.735
0.548,0.731
0.547,0.727
0.546,0.723
0.545,0.719
0.545,0.715
0.544,0.712
0.543,0.708
0.542,0.704
0.542,0.7
0.541,0.696
0.54,0.693
0.54,0.689
0.539,0.685
0.538,0.682
0.538,0.678
0.537,0.675
0.536,0.671
0.536,0.668
0.535,0.664
0.535,0.661
0.534,0.657
0.533,0.654
0.533,0.65
0.532,0.647
0.532,0.644
0.531,0.64
0.53,0.637
0.53,0.634
0.529,0.631
0.529,0.627
0.528,0.624
0.528,0.621
0.527,0.618
0.527,0.615
0.526,0.612
0.526,0.609
0.525,0.606
0.525,0.602
0.524,0.599
0.524,0.596
0.523,0.593
0.523,0.59
0.522,0.588
0.522,0.585
0.521,0.582
0.521,0.579
0.52,0.576
0.52,0.573
0.52,0.57
0.519,0.567
0.519,0.565
0.518,0.562
0.518,0.559
0.517,0.556
0.517,0.553
0.517,0.551
0.516,0.548
0.516,0.545
0.515,0.543
0.515,0.54
0.515,0.537
0.514,0.535
0.514,0.532
0.514,0.529
0.513,0.527
0.513,0.524
0.512,0.521
0.512,0.519
0.512,0.516
0.511,0.514
0.511,0.511
0.511,0.509
0.51,0.506
0.51,0.504
0.51,0.501
0.509,0.499
0.509,0.496
0.509,0.494
0.508,0.491
0.508,0.489
0.508,0.487
0.507,0.484
0.507,0.482
0.507,0.479
0.507,0.477
0.506,0.475
0.506,0.472
0.506,0.47
0.505,0.468
0.505,0.465
0.505,0.463
0.504,0.461
0.504,0.458
0.504,0.456
0.504,0.454
0.503,0.452
0.503,0.449
0.503,0.447
0.503,0.445
0.502,0.443
0.502,0.44
0.502,0.438
0.502,0.436
0.501,0.434
0.501,0.432
0.501,0.43
0.501,0.427
0.5,0.425
0.5,0.423
0.5,0.421
0.5,0.419
0.499,0.417
0.499,0.415
0.499,0.412
0.499,0.41
0.498,0.408
0.498,0.406
0.498,0.404
0.498,0.402
0.497,0.4
0.497,0.398
0.497,0.396
0.497,0.394
0.497,0.392
0.496,0.39
0.496,0.388
0.496,0.386
0.496,0.384
0.496,0.382
0.495,0.38
0.495,0.378
0.495,0.376
0.495,0.374
0.495,0.372
0.494,0.37
0.494,0.368
0.494,0.366
0.494,0.364
0.494,0.362
0.493,0.36
0.493,0.358
0.493,0.356
0.493,0.355
0.493,0.353
0.493,0.351
0.492,0.349
0.492,0.347
0.492,0.345
0.492,0.343
0.492,0.341
0.492,0.339
0.491,0.338
0.491,0.336
0.491,0.334
0.491,0.332
0.491,0.33
0.491,0.328
0.49,0.327
0.49,0.325
0.49,0.323
0.49,0.321
0.49,0.319
0.49,0.318
0.489,0.316
0.489,0.314
0.489,0.312
