# Simulation 5 (Up to date)
# 960 data points written for 58 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (27 m/s):  "Drogue Parachute"
#   Recovery device deployment at high speed (30.4 m/s):  "Main Parachute"
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (kg),Motor mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (m),CG location (m),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (m),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,0,0,0,0,83,90,23.476,8.988,10.82,0.081,9.792,NaN,1.829,NaN,0,0,0,1.334,1.147,0.067,0.12,1.334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,15,1013.25,0.001,340.389,0,0,0.157,192.898,0.01,0.003,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,0,0,0,0,83,90,23.471,8.983,10.818,0.081,9.792,NaN,1.828,NaN,142.178,0.619,0,1.334,1.147,0.067,0.12,1.334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,15,1013.25,0.001,340.389,0,0,0.157,192.898,0.01,0.005,0
0.02,0,0,0.004,0.004,2.235,2.679,0,0,0,0,0.002,1.477,28.61,-80.6,0,0,0,0,83,90,23.466,8.978,10.816,0.081,9.792,NaN,1.828,NaN,284.356,1.238,3.144e-7,1.334,1.147,0.067,0.12,1.334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,15,1013.25,0.001,340.389,1.312e-5,843.437,0.157,192.898,0.01,0.006,5.97e-7
0.03,2.493e-4,2.493e-4,0.056,0.06,8.253,8.546,1.108e-4,0,1.108e-4,90,0.021,2.216,28.61,-80.6,13.431,0,0,0,83,90,23.46,8.973,10.814,0.081,9.792,NaN,1.828,NaN,426.534,1.857,6.907e-5,1.285,1.098,0.067,0.12,1.627,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,15,1013.25,0.001,340.389,1.761e-4,1.132e4,0.157,192.898,0.01,0.007,7.812e-6
0.04,0.001,0.001,0.169,0.175,14.274,14.576,4.431e-4,0,4.431e-4,90,0.047,2.955,28.61,-80.6,8.489,0,0,0,83,90,23.455,8.967,10.812,0.081,9.792,NaN,1.828,NaN,568.712,2.476,4.004e-4,0.961,0.774,0.067,0.12,1.105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,15,1013.25,0.001,340.389,5.146e-4,3.309e4,0.157,192.898,0.01,0.008,2.266e-5
0.05,0.004,0.004,0.342,0.351,20.297,20.63,0.001,0,0.001,90,0.08,3.694,28.61,-80.6,6.182,0,0,0,83,90,23.45,8.962,10.809,0.081,9.792,NaN,1.828,NaN,710.89,3.096,0.001,0.822,0.635,0.067,0.12,0.896,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,15,1013.25,0.001,340.389,0.001,6.628e4,0.157,192.898,0.01,0.011,4.527e-5
0.06,0.008,0.008,0.575,0.587,26.323,26.693,0.002,0,0.002,90,0.121,4.434,28.61,-80.6,4.857,0,0,0,83,90,23.445,8.957,10.807,0.081,9.792,NaN,1.828,NaN,853.068,3.716,0.003,0.742,0.554,0.067,0.12,0.786,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,15,1013.249,0.001,340.389,0.002,1.109e5,0.157,192.898,0.01,0.013,7.566e-5
0.07,0.016,0.016,0.868,0.884,32.351,32.762,0.004,0,0.004,90,0.169,5.174,28.61,-80.6,3.997,0,0,0,83,90,23.44,8.952,10.805,0.081,9.792,NaN,1.828,NaN,995.246,4.336,0.007,0.688,0.501,0.067,0.12,0.717,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,15,1013.248,0.001,340.389,0.003,1.67e5,0.157,192.898,0.01,0.014,1.138e-4
# Event LIFTOFF occurred at t=0.08 seconds
0.08,0.026,0.026,1.222,1.242,38.527,38.817,0.005,6.809e-9,0.005,90,0.224,4.731,28.61,-80.6,3.396,0,0,0,83,90,23.434,8.947,10.803,0.08,9.792,NaN,1.828,NaN,1137.424,4.957,0.012,0.649,0.462,0.067,0.12,0.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,15,1013.247,0.001,340.389,0.004,2.346e5,0.157,192.898,0.01,0.015,1.598e-4
0.09,0.04,0.04,1.637,1.66,44.561,44.895,0.008,1.063e-8,0.008,90,0.275,5.471,28.61,-80.6,2.54,0,0,0,83,90,23.429,8.941,10.801,0.08,9.792,NaN,1.827,NaN,1279.602,5.577,0.021,0.62,0.433,0.067,0.12,0.631,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,15,1013.245,0.001,340.389,0.005,3.136e5,0.157,192.898,0.01,0.017,2.134e-4
0.1,0.059,0.059,2.113,2.139,50.597,50.977,0.011,1.444e-8,0.011,90,0.334,6.213,28.61,-80.6,1.971,0,0,0,83,90,23.424,8.936,10.799,0.08,9.792,NaN,1.827,NaN,1421.78,6.199,0.033,0.596,0.409,0.067,0.12,0.603,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,15,1013.243,0.001,340.389,0.006,4.041e5,0.157,192.898,0.01,0.018,2.749e-4
0.11,0.083,0.083,2.649,2.679,56.635,57.061,0.015,1.826e-8,0.015,90,0.399,6.954,28.61,-80.6,1.574,0,0,0,83,90,23.419,8.931,10.797,0.08,9.792,NaN,1.827,NaN,1563.958,6.82,0.049,0.577,0.39,0.067,0.12,0.581,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.999,1013.24,0.001,340.389,0.008,5.06e5,0.157,192.898,0.01,0.019,3.442e-4
0.12,0.112,0.112,3.246,3.28,62.676,63.147,0.019,2.208e-8,0.019,90,0.473,7.696,28.61,-80.6,1.285,0,0,0,83,90,23.414,8.926,10.795,0.08,9.792,NaN,1.827,NaN,1706.136,7.442,0.072,0.561,0.374,0.067,0.12,0.563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.999,1013.237,0.001,340.388,0.01,6.195e5,0.157,192.898,0.01,0.021,4.212e-4
0.13,0.148,0.148,3.903,3.942,68.719,69.236,0.024,2.59e-8,0.024,90,0.553,8.438,28.61,-80.6,1.07,0,0,0,83,90,23.408,8.921,10.793,0.08,9.792,NaN,1.827,NaN,1848.314,8.063,0.101,0.547,0.36,0.067,0.12,0.549,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.999,1013.233,0.001,340.388,0.012,7.445e5,0.157,192.898,0.004,0.023,5.062e-4
0.134,0.164,0.164,4.182,4.223,71.137,71.672,0.026,2.742e-8,0.026,90,0.588,8.735,28.61,-80.6,0.998,0,0,0,83,90,23.406,8.919,10.792,0.08,9.792,NaN,1.827,NaN,1905.185,8.312,0.115,0.542,0.355,0.067,0.12,0.543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.999,1013.231,0.001,340.388,0.012,7.977e5,0.157,192.898,0.006,0.025,5.423e-4
0.14,0.19,0.19,4.61,4.654,71.267,71.802,0.03,2.971e-8,0.03,90,0.64,8.751,28.61,-80.6,0.906,0,0,0,83,90,23.4,8.912,10.789,0.08,9.792,NaN,1.827,NaN,1907.743,8.326,0.137,0.535,0.348,0.067,0.12,0.536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.999,1013.228,0.001,340.388,0.014,8.79e5,0.157,192.898,0.009,0.026,5.975e-4
0.149,0.235,0.235,5.252,5.301,71.462,71.998,0.036,3.315e-8,0.036,90,0.719,8.774,28.61,-80.6,0.795,0,0,0,83,90,23.39,8.903,10.785,0.08,9.792,NaN,1.826,NaN,1911.58,8.346,0.175,0.526,0.339,0.067,0.12,0.527,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.998,1013.222,0.001,340.388,0.016,1.001e6,0.157,192.898,0.01,0.027,6.806e-4
