# Simulation 5 (Up to date)
# 960 data points written for 2 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (27 m/s):  "Drogue Parachute"
#   Recovery device deployment at high speed (30.4 m/s):  "Main Parachute"
#
# CP location (m),CG location (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
NaN,1.829
NaN,1.828
NaN,1.828
NaN,1.828
NaN,1.828
NaN,1.828
NaN,1.828
NaN,1.828
# Event LIFTOFF occurred at t=0.08 seconds
NaN,1.828
NaN,1.827
NaN,1.827
NaN,1.827
NaN,1.827
NaN,1.827
NaN,1.827
NaN,1.827
NaN,1.826
NaN,1.826
NaN,1.826
NaN,1.826
NaN,1.825
NaN,1.825
NaN,1.825
NaN,1.824
NaN,1.824
NaN,1.824
NaN,1.824
NaN,1.823
NaN,1.823
NaN,1.823
NaN,1.822
NaN,1.822
NaN,1.822
NaN,1.822
NaN,1.821
NaN,1.821
NaN,1.821
NaN,1.821
NaN,1.82
NaN,1.82
NaN,1.82
NaN,1.819
NaN,1.819
NaN,1.819
NaN,1.819
NaN,1.818
NaN,1.818
# Event LAUNCHROD occurred at t=0.456 seconds
2.205,1.818
2.204,1.817
2.203,1.817
2.202,1.816
2.201,1.814
2.2,1.813
2.2,1.811
2.2,1.809
2.2,1.808
2.201,1.806
2.202,1.805
2.204,1.803
2.204,1.802
2.206,1.801
2.208,1.8
2.21,1.798
2.21,1.796
2.209,1.794
2.208,1.793
2.207,1.791
2.207,1.79
2.208,1.788
2.209,1.786
2.211,1.784
2.212,1.784
2.214,1.782
2.213,1.781
2.213,1.779
2.213,1.777
2.213,1.775
2.214,1.774
2.216,1.772
2.217,1.77
2.216,1.768
2.217,1.766
2.217,1.764
2.218,1.764
2.219,1.762
2.22,1.76
2.22,1.758
2.221,1.756
2.222,1.755
2.224,1.753
2.224,1.751
2.225,1.749
2.226,1.747
2.228,1.745
2.229,1.743
2.229,1.742
2.23,1.741
2.231,1.739
2.233,1.737
2.234,1.735
2.235,1.733
2.237,1.731
2.238,1.729
2.239,1.727
2.241,1.725
2.242,1.723
2.244,1.721
2.244,1.72
2.246,1.719
2.247,1.717
2.248,1.715
2.25,1.713
2.251,1.711
2.252,1.709
2.254,1.708
2.255,1.706
2.257,1.704
2.258,1.702
2.259,1.7
2.26,1.699
2.261,1.698
2.262,1.696
2.263,1.694
2.264,1.693
2.266,1.691
2.267,1.689
2.268,1.688
2.269,1.686
2.27,1.684
2.271,1.683
2.272,1.681
2.272,1.68
2.273,1.679
2.274,1.677
2.275,1.676
2.275,1.674
2.276,1.673
2.276,1.672
2.277,1.67
2.278,1.669
2.278,1.667
2.279,1.666
2.279,1.664
2.279,1.664
2.28,1.663
2.28,1.662
2.28,1.66
2.281,1.659
2.281,1.658
2.281,1.657
2.281,1.655
2.281,1.654
2.282,1.653
2.282,1.652
2.282,1.651
2.282,1.65
2.282,1.649
2.282,1.648
2.282,1.647
2.282,1.646
2.282,1.646
2.282,1.645
2.281,1.644
2.281,1.643
2.281,1.643
2.28,1.642
2.28,1.641
2.28,1.641
2.279,1.641
2.279,1.64
2.278,1.64
2.277,1.64
2.277,1.639
2.276,1.639
2.275,1.639
2.274,1.639
2.273,1.639
2.273,1.639
2.272,1.639
2.271,1.638
2.27,1.638
2.27,1.638
2.269,1.638
2.268,1.638
2.267,1.638
2.266,1.638
2.265,1.638
2.264,1.638
2.263,1.638
2.262,1.638
2.261,1.638
# Event BURNOUT occurred at t=6.95 seconds
# Event EJECTION_CHARGE occurred at t=6.95 seconds
2.261,1.638
2.26,1.638
2.26,1.638
2.259,1.638
2.258,1.638
2.257,1.638
2.256,1.638
2.256,1.638
2.255,1.638
2.254,1.638
2.253,1.638
2.253,1.638
2.252,1.638
2.251,1.638
2.251,1.638
2.25,1.638
2.249,1.638
2.249,1.638
2.248,1.638
2.247,1.638
2.247,1.638
2.246,1.638
2.246,1.638
2.245,1.638
2.245,1.638
2.244,1.638
2.243,1.638
2.243,1.638
2.242,1.638
